   9.0000000e+00  -2.0327604e+01  -2.0320329e+01
   9.0443941e+00  -2.0370481e+01  -2.0362903e+01
   9.0874628e+00  -2.0405758e+01  -2.0397885e+01
   9.1292830e+00  -2.0433773e+01  -2.0425616e+01
   9.1699250e+00  -2.0454857e+01  -2.0446424e+01
   9.2094534e+00  -2.0469329e+01  -2.0460632e+01
   9.2479275e+00  -2.0477502e+01  -2.0468552e+01
   9.2854022e+00  -2.0479681e+01  -2.0470491e+01
   9.3219281e+00  -2.0476164e+01  -2.0466745e+01
   9.3575520e+00  -2.0467241e+01  -2.0457605e+01
   9.3923174e+00  -2.0453193e+01  -2.0443354e+01
   9.4262648e+00  -2.0434296e+01  -2.0424266e+01
   9.4594316e+00  -2.0410817e+01  -2.0400609e+01
   9.4918531e+00  -2.0383014e+01  -2.0372640e+01
   9.5235620e+00  -2.0351138e+01  -2.0340611e+01
   9.5545889e+00  -2.0315432e+01  -2.0304764e+01
   9.5849625e+00  -2.0276128e+01  -2.0265331e+01
   9.6147098e+00  -2.0233453e+01  -2.0222538e+01
   9.6438562e+00  -2.0187622e+01  -2.0176602e+01
   9.6724253e+00  -2.0138844e+01  -2.0127728e+01
   9.7004397e+00  -2.0087317e+01  -2.0076117e+01
   9.7279205e+00  -2.0033231e+01  -2.0021958e+01
   9.7548875e+00  -1.9976769e+01  -1.9965431e+01
   9.7813597e+00  -1.9918103e+01  -1.9906711e+01
   9.8073549e+00  -1.9857399e+01  -1.9845961e+01
   9.8328900e+00  -1.9794813e+01  -1.9783337e+01
   9.8579810e+00  -1.9730494e+01  -1.9718988e+01
   9.8826430e+00  -1.9664582e+01  -1.9653054e+01
   9.9068906e+00  -1.9597210e+01  -1.9585669e+01
   9.9307373e+00  -1.9528506e+01  -1.9516957e+01
   9.9541963e+00  -1.9458589e+01  -1.9447038e+01
   9.9772799e+00  -1.9387570e+01  -1.9376023e+01
   1.0000000e+01  -1.9315554e+01  -1.9304018e+01
