   4.0000000e+00  -6.7401618e+00  -1.2676024e+01  -1.9949692e+01  -2.9605905e+01  -5.7042714e+01
   5.0000000e+00  -9.5388611e+00  -1.5512967e+01  -2.2815620e+01  -3.2459939e+01  -5.1009368e+01
   5.5849625e+00  -1.1230871e+01  -1.7215114e+01  -2.4515936e+01  -3.4046799e+01  -4.7485198e+01
   6.0000000e+00  -1.2445214e+01  -1.8431327e+01  -2.5713255e+01  -3.5019450e+01  -4.4985618e+01
   6.3219281e+00  -1.3392006e+01  -1.9374895e+01  -2.6620647e+01  -3.5581967e+01  -4.3047060e+01
   6.5849625e+00  -1.4167169e+01  -2.0142341e+01  -2.7332572e+01  -3.5836227e+01  -4.1463258e+01
   6.8073549e+00  -1.4822513e+01  -2.0785383e+01  -2.7898627e+01  -3.5854675e+01  -4.0124233e+01
   7.0000000e+00  -1.5389171e+01  -2.1334825e+01  -2.8347993e+01  -3.5697967e+01  -3.8964354e+01
   7.1699250e+00  -1.5887280e+01  -2.1810399e+01  -2.8699546e+01  -3.5417316e+01  -3.7941295e+01
   7.3219281e+00  -1.6330596e+01  -2.2225447e+01  -2.8966663e+01  -3.5053859e+01  -3.7026157e+01
   7.4594316e+00  -1.6728909e+01  -2.2589375e+01  -2.9159697e+01  -3.4638804e+01  -3.6198332e+01
   7.5849625e+00  -1.7089425e+01  -2.2909053e+01  -2.9287322e+01  -3.4194698e+01  -3.5442601e+01
   7.7004397e+00  -1.7417585e+01  -2.3189657e+01  -2.9357228e+01  -3.3737216e+01  -3.4747410e+01
   7.8073549e+00  -1.7717593e+01  -2.3435202e+01  -2.9376471e+01  -3.3276917e+01  -3.4103777e+01
   7.9068906e+00  -1.7992758e+01  -2.3648896e+01  -2.9351619e+01  -3.2820710e+01  -3.3504581e+01
   8.0000000e+00  -1.8245726e+01  -2.3833376e+01  -2.9288779e+01  -3.2372967e+01  -3.2944082e+01
   8.0874628e+00  -1.8478644e+01  -2.3990876e+01  -2.9193587e+01  -3.1936334e+01  -3.2417586e+01
   8.1699250e+00  -1.8693280e+01  -2.4123339e+01  -2.9071181e+01  -3.1512299e+01  -3.1921204e+01
   8.2479275e+00  -1.8891102e+01  -2.4232505e+01  -2.8926176e+01  -3.1101575e+01  -3.1451679e+01
   8.3219281e+00  -1.9073350e+01  -2.4319959e+01  -2.8762668e+01  -3.0704372e+01  -3.1006253e+01
   8.3923174e+00  -1.9241079e+01  -2.4387180e+01  -2.8584242e+01  -3.0320574e+01  -3.0582576e+01
   8.4594316e+00  -1.9395199e+01  -2.4435563e+01  -2.8394000e+01  -2.9949859e+01  -3.0178622e+01
   8.5235620e+00  -1.9536502e+01  -2.4466437e+01  -2.8194601e+01  -2.9591782e+01  -2.9792640e+01
